match_id,batsman,runs_scored,balls_faced,strike_rate,venue,venue_avg,career_avg,last5_avg
419120,AB de Villiers,27,26.0,103.84615384615385,Barabati Stadium,20.70754716981132,25.869565217391305,12.2
419128,AB de Villiers,45,35.0,128.57142857142858,M Chinnaswamy Stadium,19.957247132429615,25.916666666666668,12.4
419152,AB de Villiers,4,7.0,57.14285714285714,Brabourne Stadium,21.467105263157894,26.68,20.0
501200,AB de Villiers,54,40.0,135.0,Nehru Stadium,16.487179487179485,25.807692307692307,17.8
501205,AB de Villiers,38,36.0,105.55555555555556,M Chinnaswamy Stadium,19.957247132429615,26.85185185185185,26.4
501208,AB de Villiers,0,7.0,0.0,"Rajiv Gandhi International Stadium, Uppal",19.61134163208852,27.25,33.6
501211,AB de Villiers,65,44.0,147.72727272727272,"MA Chidambaram Stadium, Chepauk",20.1,26.310344827586206,28.2
501227,AB de Villiers,5,2.0,250.0,Feroz Shah Kotla,19.530133928571427,27.6,32.2
501232,AB de Villiers,26,20.0,130.0,M Chinnaswamy Stadium,19.957247132429615,26.870967741935484,32.4
501244,AB de Villiers,27,14.0,192.85714285714286,M Chinnaswamy Stadium,19.957247132429615,26.84375,26.8
501255,AB de Villiers,13,13.0,100.0,M Chinnaswamy Stadium,19.957247132429615,26.848484848484848,24.6
501260,AB de Villiers,34,27.0,125.92592592592592,Himachal Pradesh Cricket Association Stadium,20.29850746268657,26.441176470588236,27.2
501266,AB de Villiers,0,3.0,0.0,M Chinnaswamy Stadium,19.957247132429615,26.65714285714286,21.0
501268,AB de Villiers,11,10.0,110.00000000000001,Wankhede Stadium,19.74621549421193,25.916666666666668,20.0
501270,AB de Villiers,21,15.0,140.0,"MA Chidambaram Stadium, Chepauk",20.1,25.513513513513512,17.0
501271,AB de Villiers,18,12.0,150.0,"MA Chidambaram Stadium, Chepauk",20.1,25.394736842105264,15.8
548310,AB de Villiers,64,42.0,152.38095238095238,M Chinnaswamy Stadium,19.957247132429615,25.205128205128204,16.8
548315,AB de Villiers,10,10.0,100.0,M Chinnaswamy Stadium,19.957247132429615,26.175,22.8
548318,AB de Villiers,4,2.0,200.0,"MA Chidambaram Stadium, Chepauk",20.1,25.78048780487805,24.8
548324,AB de Villiers,6,9.0,66.66666666666666,M Chinnaswamy Stadium,19.957247132429615,25.261904761904763,23.4
548327,AB de Villiers,33,14.0,235.71428571428572,M Chinnaswamy Stadium,19.957247132429615,24.813953488372093,20.4
548331,AB de Villiers,52,39.0,133.33333333333331,"Punjab Cricket Association Stadium, Mohali",19.662264150943397,25.0,23.4
548336,AB de Villiers,59,23.0,256.52173913043475,Sawai Mansingh Stadium,19.84241531664212,25.6,21.0
548344,AB de Villiers,0,1.0,0.0,Eden Gardens,19.843501326259947,26.32608695652174,30.8
548350,AB de Villiers,17,13.0,130.76923076923077,M Chinnaswamy Stadium,19.957247132429615,25.76595744680851,30.0
548356,AB de Villiers,47,17.0,276.4705882352941,M Chinnaswamy Stadium,19.957247132429615,25.583333333333332,32.2
548362,AB de Villiers,9,4.0,225.0,Subrata Roy Sahara Stadium,17.75206611570248,26.020408163265305,35.0
548367,AB de Villiers,14,13.0,107.6923076923077,M Chinnaswamy Stadium,19.957247132429615,25.68,26.4
548376,AB de Villiers,4,11.0,36.36363636363637,"Rajiv Gandhi International Stadium, Uppal",19.61134163208852,25.45098039215686,17.4
598008,AB de Villiers,22,22.0,100.0,M Chinnaswamy Stadium,19.957247132429615,25.03846153846154,18.2
598012,AB de Villiers,64,32.0,200.0,"MA Chidambaram Stadium, Chepauk",20.1,24.9811320754717,19.2
598017,AB de Villiers,52,36.0,144.44444444444443,M Chinnaswamy Stadium,19.957247132429615,25.703703703703702,22.6
598023,AB de Villiers,7,8.0,87.5,M Chinnaswamy Stadium,19.957247132429615,26.181818181818183,31.2
598027,AB de Villiers,31,8.0,387.5,M Chinnaswamy Stadium,19.957247132429615,25.839285714285715,29.8
598033,AB de Villiers,2,3.0,66.66666666666666,Wankhede Stadium,19.74621549421193,25.92982456140351,35.2
